number,Time spent,A sense of familiarity regarding current situation,Famous song lyrics,Full name of a famous movie,The thinker sculpture,Los Angeles spelling,Volkswagen logo,Soviet Union flag,Pikachu's tail,The title of a famous old Chinese poetry,Have you heard of Mandela Effect,Yes-Which theory do you believe in,No-Explain - Which theory do you believe in
49,80√Î,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,without black strip,with the place name,No,N/A,Time travel theory
50,194.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,with black strip,with the place name,Yes,false memory theory,N/A
51,267.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,with a star,without black strip,with the place name,No,N/A,Time travel theory
52,81.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,without black strip,without the place name,No,N/A,parallel realities theory
53,224.00 ,Yes,56 constellations,Have  Been After,Forehead,Los Angeles,without blue strip,with a star,without black strip,without the place name,No,N/A,Time travel theory
54,125.00 ,Yes,56 constellations,Went After,Forehead,Los Angeles,without blue strip,without a star,without black strip,without the place name,No,N/A,Time travel theory
55,98.00 ,Yes,56 minzu,Have  Been After,Chin,Los Anglelas,with blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
56,187.00 ,Yes,56 minzu,Went After,Forehead,Los Angeles,without blue strip,without a star,without black strip,with the place name,No,N/A,Time travel theory
57,83.00 ,Yes,56 minzu,Have  Been After,Chin,Los Angeles,with blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
58,56.00 ,Yes,56 constellations,Went After,Chin,Los Angeles,with blue strip,without a star,without black strip,without the place name,Yes,false memory theory,N/A
59,104.00 ,Yes,56 constellations,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,without the place name,No,N/A,Time travel theory
60,286.00 ,Yes,56 constellations,Went After,Forehead,Los Angeles,without blue strip,with a star,with black strip,without the place name,No,N/A,Time travel theory
61,93.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
62,80.00 ,Yes,56 constellations,Have  Been After,Chin,Los Anglelas,without blue strip,without a star,without black strip,without the place name,Yes,time travel theory,N/A
63,55.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,with black strip,without the place name,No,N/A,4
64,85.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,without blue strip,without a star,without black strip,with the place name,No,N/A,time travel theory
65,179.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,with a star,with black strip,without the place name,Yes,false memory theory,N/A
66,123.00 ,Yes,56 constellations,Went After,Chin,Los Anglelas,without blue strip,with a star,with black strip,with the place name,No,N/A,Time travel theory
67,82.00 ,Yes,56 minzu,Have  Been After,Forehead,Los Angeles,with blue strip,without a star,with black strip,with the place name,No,N/A,Time travel theory
